"id","username","age","lat","lng","cuisines","flavors","allergic","restriction_id","dining_out_frequecy","dining_partner"
user_049,benjaminhill,34,,,"[9, 17]","[3, 9]","[""gluten""]",,4,{colleagues}
user_050,isabellascott,26,,,"[10, 18]","[4, 10]",[],,6,{family}
user_051,sophieturner,24,,,"[11, 19]","[5, 1]","[""nuts""]",,5,{friends}
user_052,liamjackson,38,,,"[12, 20]","[6, 2]",[],,3,{partner}
user_053,oliviaparker,29,,,"[13, 1]","[7, 3]","[""gluten""]",,4,{family}
user_054,noahmiller,26,,,"[14, 2]","[8, 4]",[],,6,{colleagues}
user_055,emmacoper,33,,,"[15, 3]","[9, 5]","[""shellfish""]",,2,{friends}
user_056,ethanroberts,30,,,"[16, 4]","[10, 6]",[],,5,{partner}
user_057,avamartin,27,,,"[17, 5]","[1, 7]","[""dairy""]",,4,{family}
user_058,masonwhite,35,,,"[18, 6]","[2, 8]",[],,3,{friends}
user_059,isabellamoore,28,,,"[19, 7]","[3, 9]","[""nuts""]",,6,{colleagues}
user_060,loganbrown,31,,,"[20, 8]","[4, 10]",[],,5,{partner}
user_061,miataylor,25,,,"[1, 9]","[5, 1]","[""gluten""]",,4,{friends}
user_062,jacobwilson,39,,,"[2, 10]","[6, 2]",[],,2,{family}
user_063,charlotteevans,32,,,"[3, 11]","[7, 3]","[""shellfish""]",,5,{partner}
user_064,benjaminlee,26,,,"[4, 12]","[8, 4]",[],,3,{colleagues}
user_065,ameliaharris,34,,,"[5, 13]","[9, 5]","[""dairy""]",,4,{friends}
user_066,elijahthomas,29,,,"[6, 14]","[10, 6]",[],,6,{family}
user_067,harperjackson,27,,,"[7, 15]","[1, 7]","[""nuts""]",,5,{partner}
user_083,charlotteperry,28,,,"[3, 9]","[3, 7]","[""nuts""]",,3,{partner}
user_085,isabellafisher,26,,,"[5, 11]","[5, 9]","[""shellfish""]",,4,{friends}
user_086,ethanhoward,29,,,"[6, 12]","[6, 10]",[],,6,{family}
user_087,harperdixon,32,,,"[7, 13]","[7, 1]","[""dairy""]",,3,{partner}
user_088,masonwarren,27,,,"[8, 14]","[8, 2]",[],,5,{friends}
user_089,evelynellis,34,,,"[9, 15]","[9, 3]","[""gluten""]",,4,{colleagues}
user_090,loganmason,25,,,"[10, 16]","[10, 4]",[],,6,{family}
